currency,date
CAD,2018 Jan 1
USD,2018 Jan 1
NZD,2018 Jan 1
JPY,2018 Jan 1
CHF,2018 Jan 2
JPY,2018 Jan 2
JPY,2018 Jan 7
USD,2018 Jan 15
AUD,2018 Jan 25
EUR,2019 Nov 1
EUR,2019 Nov 1
CAD,2019 Nov 3
USD,2019 Nov 3
JPY,2019 Nov 3
EUR,2019 Nov 11
CAD,2019 Nov 11
USD,2019 Nov 11
USD,2019 Nov 28
CHF,2015 Jan 1
EUR,2015 Jan 1
EUR,2015 Jan 1
EUR,2015 Jan 1
GBP,2015 Jan 1
CAD,2015 Jan 1
USD,2015 Jan 1
NZD,2015 Jan 1
CNY,2015 Jan 1
JPY,2015 Jan 1
CHF,2015 Jan 2
EUR,2015 Jan 6
JPY,2015 Jan 11
USD,2015 Jan 19
AUD,2015 Jan 25
CAD,2021 Sep 6
USD,2021 Sep 6
JPY,2021 Sep 19
CNY,2021 Sep 19
CNY,2021 Sep 20
JPY,2021 Sep 22
NZD,2021 Sep 26
CNY,2021 Sep 30
NZD,2009 Apr 4
AUD,2009 Apr 4
CNY,2009 Apr 5
NZD,2009 Apr 9
AUD,2009 Apr 9
CHF,2009 Apr 10
EUR,2009 Apr 10
GBP,2009 Apr 10
CAD,2009 Apr 10
NZD,2009 Apr 12
AUD,2009 Apr 12
CHF,2009 Apr 13
EUR,2009 Apr 13
EUR,2009 Apr 13
EUR,2009 Apr 13
GBP,2009 Apr 13
AUD,2009 Apr 26
JPY,2009 Apr 28
CNY,2009 Apr 30
CNY,2014 Oct 1
CNY,2014 Oct 2
EUR,2014 Oct 3
AUD,2014 Oct 4
AUD,2014 Oct 5
CNY,2014 Oct 5
CNY,2014 Oct 6
JPY,2014 Oct 12
CAD,2014 Oct 13
USD,2014 Oct 13
CHF,2014 Oct 25
EUR,2014 Oct 25
GBP,2014 Oct 25
NZD,2014 Oct 26
CAD,2008 Jul 1
USD,2008 Jul 4
EUR,2008 Jul 14
JPY,2008 Jul 20
JPY,2018 Dec 23
EUR,2018 Dec 24
NZD,2018 Dec 24
AUD,2018 Dec 24
CHF,2018 Dec 25
EUR,2018 Dec 25
EUR,2018 Dec 25
EUR,2018 Dec 25
GBP,2018 Dec 25
CAD,2018 Dec 25
USD,2018 Dec 25
NZD,2018 Dec 25
AUD,2018 Dec 25
CHF,2018 Dec 26
EUR,2018 Dec 26
EUR,2018 Dec 26
GBP,2018 Dec 26
CAD,2018 Dec 26
JPY,2018 Dec 30
EUR,2018 Dec 31
NZD,2018 Dec 31
AUD,2018 Dec 31
JPY,2018 Dec 31
CNY,2018 Dec 31
EUR,2022 Nov 1
EUR,2022 Nov 1
JPY,2022 Nov 2
CAD,2022 Nov 6
USD,2022 Nov 6
EUR,2022 Nov 11
CAD,2022 Nov 11
USD,2022 Nov 11
JPY,2022 Nov 22
USD,2022 Nov 24
JPY,2007 Dec 23
EUR,2007 Dec 24
NZD,2007 Dec 24
AUD,2007 Dec 24
CHF,2007 Dec 25
EUR,2007 Dec 25
EUR,2007 Dec 25
EUR,2007 Dec 25
GBP,2007 Dec 25
CAD,2007 Dec 25
USD,2007 Dec 25
NZD,2007 Dec 25
AUD,2007 Dec 25
CHF,2007 Dec 26
EUR,2007 Dec 26
EUR,2007 Dec 26
GBP,2007 Dec 26
CAD,2007 Dec 26
JPY,2007 Dec 30
EUR,2007 Dec 31
NZD,2007 Dec 31
AUD,2007 Dec 31
CNY,2007 Dec 31
JPY,2007 Dec 31
